date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:31:12	14782/14782	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:52%20GMT	http://learnpythonthehardway.org/book/ex11.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex11.html	(from http://learnpythonthehardway.org/book/)
11:31:12	14952/14952	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:55%20GMT	http://learnpythonthehardway.org/book/ex12.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex12.html	(from http://learnpythonthehardway.org/book/)
11:31:13	17108/17108	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:54%20GMT	http://learnpythonthehardway.org/book/ex14.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex14.html	(from http://learnpythonthehardway.org/book/)
11:31:13	18770/18770	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:55%20GMT	http://learnpythonthehardway.org/book/ex15.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex15.html	(from http://learnpythonthehardway.org/book/)
11:31:14	19456/19456	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:54%20GMT	http://learnpythonthehardway.org/book/ex16.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex16.html	(from http://learnpythonthehardway.org/book/)
11:31:14	18780/18780	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:55%20GMT	http://learnpythonthehardway.org/book/ex13.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex13.html	(from http://learnpythonthehardway.org/book/)
11:31:14	17917/17917	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:56%20GMT	http://learnpythonthehardway.org/book/ex17.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex17.html	(from http://learnpythonthehardway.org/book/)
11:31:14	19419/19419	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:52%20GMT	http://learnpythonthehardway.org/book/ex18.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex18.html	(from http://learnpythonthehardway.org/book/)
11:31:15	18766/18766	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:54%20GMT	http://learnpythonthehardway.org/book/ex19.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex19.html	(from http://learnpythonthehardway.org/book/)
11:31:15	18858/18858	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:52%20GMT	http://learnpythonthehardway.org/book/ex20.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex20.html	(from http://learnpythonthehardway.org/book/)
11:31:15	20794/20794	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:57%20GMT	http://learnpythonthehardway.org/book/ex21.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex21.html	(from http://learnpythonthehardway.org/book/)
11:31:16	11122/11122	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:57%20GMT	http://learnpythonthehardway.org/book/ex22.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex22.html	(from http://learnpythonthehardway.org/book/)
11:31:16	11024/11024	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:55%20GMT	http://learnpythonthehardway.org/book/ex23.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex23.html	(from http://learnpythonthehardway.org/book/)
11:31:16	18321/18321	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:57%20GMT	http://learnpythonthehardway.org/book/ex24.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex24.html	(from http://learnpythonthehardway.org/book/)
11:31:17	27692/27692	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:53%20GMT	http://learnpythonthehardway.org/book/ex25.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex25.html	(from http://learnpythonthehardway.org/book/)
